@relation corpus_total_ngram
@attribute 'pos_sequence' string
@attribute 'xClasse' {apprenants,natifs}
@data
"PRON PRON VERB ADP VERB DET NOUN VERB VERB NOUN NOUN ADP ADJ ADP NOUN PRON VERB DET NOUN ADP NOUN VERB ADP DET NOUN PUNCT ADP VERB SCONJ PRON AUX VERB ADP VERB NOUN NOUN ADJ PUNCT PROPN AUX DET ADJ PROPN PUNCT CCONJ DET NOUN AUX ADV ADV PRON DET NOUN ADP DET NOUN ADJ CCONJ DET NOUN ADP NOUN ADJ PUNCT PRON VERB DET ADJ NOUN PRON DET NOUN VERB PUNCT PROPN PUNCT DET NOUN VERB DET NOUN ADJ ADP DET NOUN PUNCT PRON AUX VERB ADJ NOUN ADJ PUNCT ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT CCONJ VERB DET NOUN ADP DET ADJ ADJ PUNCT DET NOUN AUX ADV NOUN DET ADJ NOUN ADP DET NOUN ADJ VERB ADP DET NOUN PUNCT ADP NOUN PROPN PRON VERB PUNCT ADV ADV ADV VERB DET NOUN ADJ PUNCT DET NOUN ADP DET NOUN ADJ PUNCT DET NOUN ADP NOUN NOUN ADV VERB CCONJ DET NOUN ADP NOUN VERB VERB DET NOUN PUNCT DET NOUN PUNCT VERB ADV DET NOUN ADP NOUN ADP ADJ NOUN PUNCT PRON PRON VERB ADV ADP VERB NOUN PUNCT NOUN PUNCT VERB DET NOUN ADP VERB DET NOUN PRON VERB NOUN DET NOUN PUNCT",apprenants
"NOUN DET NOUN PUNCT ADP DET NOUN PUNCT PRON VERB ADP PRON VERB ADP ADV ADV VERB DET NOUN ADP DET NOUN ADP NOUN AUX CCONJ PRON VERB PRON VERB ADV DET NOUN CCONJ DET NOUN ADP DET NOUN PUNCT SCONJ ADJ ADP DET NOUN PUNCT ADV ADV ADV PUNCT PROPN ADP PROPN ADJ ADP NOUN NOUN PUNCT PROPN VERB ADV DET NOUN ADJ ADP DET NOUN ADJ ADP ADJ DET NOUN CCONJ DET NOUN ADP DET NOUN PUNCT DET NOUN ADP DET NOUN VERB DET ADJ NOUN NOUN PUNCT DET ADJ NOUN PRON VERB CCONJ SYM PRON NOUN PUNCT PRON VERB ADP NOUN PUNCT CCONJ ADV ADV PUNCT ADP VERB DET NOUN ADJ PUNCT ADP VERB VERB ADP DET NOUN PUNCT ADJ CCONJ ADP ADJ PUNCT PUNCT ADV VERB ADP VERB CCONJ VERB DET NOUN ADP VERB ADV PRON ADP DET NOUN DET NOUN ADP NOUN PUNCT VERB DET ADV NOUN ADJ VERB DET NOUN ADP DET NOUN ADP DET NOUN CCONJ DET NOUN PUNCT NOUN NOUN NOUN ADP DET NOUN ADP DET NOUN CCONJ ADP NOUN PRON VERB PUNCT DET NOUN ADP DET NOUN AUX ADJ ADP DET ADJ NOUN ADP DET NOUN PUNCT VERB ADP DET NOUN ADP DET NOUN ADJ PUNCT PRON VERB ADP VERB DET NOUN CCONJ PRON VERB ADP ADV ADJ NOUN PUNCT PRON PRON ADV VERB ADV DET NOUN ADP DET NOUN PUNCT CCONJ PRON PUNCT ADV ADV ADP DET NOUN ADJ PUNCT CCONJ ADV ADJ PUNCT VERB PRON SCONJ DET NOUN PUNCT NOUN CCONJ ADJ ADP ADJ PUNCT VERB ADV ADP NOUN PUNCT DET NOUN VERB DET NOUN PUNCT PRON VERB ADP DET NOUN ADV VERB ADV DET NOUN PROPN NOUN PUNCT DET NOUN ADP NOUN VERB NOUN ADP NOUN ADP NOUN ADP VERB DET ADJ NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN VERB VERB CCONJ VERB ADP DET ADJ NOUN ADP DET NOUN PUNCT ADV PUNCT NOUN DET NOUN PUNCT SCONJ PRON VERB DET NOUN PUNCT SCONJ VERB CCONJ DET ADJ ADP ADJ PUNCT PRON ADV DET NOUN ADV PUNCT PROPN VERB SCONJ DET NOUN VERB PRON VERB PUNCT ADP DET NOUN PUNCT PRON PRON NOUN ADP ADV VERB VERB DET NOUN NOUN PUNCT NOUN ADJ PUNCT",apprenants
"NOUN DET NOUN PUNCT PROPN PUNCT NOUN SCONJ DET NOUN ADJ ADP DET NOUN PUNCT PRON VERB ADP VERB DET NOUN NOUN ADP DET ADJ NOUN VERB ADP DET NOUN ADP NOUN VERB PUNCT ADP PRON VERB ADP ADV ADV VERB DET NOUN ADJ PUNCT DET NOUN AUX ADV DET NOUN ADJ PUNCT ADP NOUN ADP NOUN PUNCT ADJ CCONJ NOUN PRON PRON PRON VERB PUNCT DET NOUN VERB DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADP PUNCT ADV ADV ADV PUNCT ADP NOUN ADJ PUNCT PRON VERB DET ADJ NOUN ADP AUX VERB DET NOUN ADJ ADJ PUNCT CCONJ DET NOUN VERB ADV ADP ADJ NOUN DET NOUN PUNCT ADP DET NOUN PUNCT DET NOUN VERB VERB DET NOUN ADP NOUN PUNCT ADV PUNCT NOUN DET NOUN PUNCT PRON VERB DET NOUN ADP NOUN ADP NOUN PUNCT ADP DET NOUN ADJ PUNCT DET NOUN VERB DET NOUN ADP NUM NOUN ADP DET NOUN ADJ NOUN PUNCT ADV PUNCT DET NOUN ADJ VERB VERB DET NOUN ADJ ADP DET NOUN PUNCT DET NOUN CCONJ DET NOUN VERB DET NOUN ADV NOUN VERB PUNCT DET NOUN VERB DET NOUN PUNCT DET NOUN ADV PUNCT CCONJ DET NOUN ADJ ADV DET NOUN ADP DET NOUN PUNCT ADP VERB SCONJ PRON VERB VERB ADP ADJ NOUN PUNCT PRON VERB VERB ADP VERB DET ADJ NOUN ADJ PUNCT",apprenants
"ADJ NOUN PRON PRON VERB DET NOUN ADP VERB DET NOUN PUNCT DET NOUN NOUN AUX DET NOUN ADJ PUNCT PRON AUX ADJ ADP VERB DET NOUN PUNCT ADV PUNCT ADV ADJ PRON PRON VERB VERB ADP VERB DET ADJ NOUN ADJ PUNCT ADP NOUN PUNCT DET NOUN AUX VERB ADP NOUN PUNCT PROPN AUX AUX DET NOUN ADJ PUNCT DET NOUN VERB VERB DET ADV ADJ ADP VERB ADP DET NOUN PUNCT ADP DET NOUN PUNCT DET NOUN VERB VERB DET PUNCT ADJ ADV PUNCT ADJ SCONJ DET NOUN PUNCT DET NOUN VERB PUNCT DET PROPN PROPN PROPN PUNCT ADP VERB ADJ ADP NOUN PUNCT PRON VERB VERB DET NOUN NOUN PUNCT SCONJ SCONJ DET NOUN AUX VERB PUNCT ADJ DET NOUN VERB DET NOUN PUNCT PROPN PUNCT DET NOUN VERB DET NOUN PUNCT DET NOUN PROPN DET NOUN ADP DET NOUN PUNCT DET NOUN ADV VERB DET NOUN ADV PUNCT SCONJ PRON VERB AUX VERB DET NOUN ADP DET NOUN PUNCT PRON VERB VERB DET NOUN PUNCT DET NOUN ADJ VERB DET NOUN ADJ PUNCT DET NOUN VERB VERB DET NOUN ADJ VERB PUNCT CCONJ DET NOUN AUX VERB ADP DET NOUN ADJ PUNCT PRON AUX DET ADJ NOUN ADP VERB DET NOUN ADJ PUNCT ADP NOUN PUNCT DET NOUN ADJ VERB NOUN NOUN ADJ VERB DET NOUN AUX VERB PUNCT PRON VERB VERB ADP NOUN ADJ NOUN PUNCT PRON PRON AUX ADV ADJ PUNCT ADV PUNCT PRON VERB VERB DET DET NOUN PUNCT CCONJ PUNCT DET NOUN VERB DET NOUN ADP DET NOUN PUNCT DET NOUN AUX DET PUNCT ADP VERB DET NOUN PUNCT PRON PRON VERB ADV ADP ADV ADP NOUN ADP DET NOUN PUNCT ADP NOUN PUNCT PROPN VERB DET NOUN PRON VERB VERB ADP VERB DET NOUN PUNCT PRON PRON VERB ADP DET NOUN PUNCT DET NOUN",apprenants
"NOUN DET PROPN PUNCT ADP ADV NUM VERB VERB ADP DET NOUN ADP DET NOUN PUNCT PRON PRON VERB ADP VERB ADP NOUN ADP NOUN NOUN ADP NOUN PROPN AUX PUNCT VERB ADP NOUN PUNCT DET NOUN PUNCT ADV ADV SCONJ DET NOUN AUX DET NOUN ADP DET NOUN ADJ CCONJ ADJ PUNCT ADP NOUN PUNCT PRON VERB ADJ DET NOUN CCONJ VERB DET ADJ NOUN PUNCT PROPN NOUN ADJ PUNCT ADP NOUN ADP DET NOUN PROPN PRON AUX VERB DET NOUN PUNCT ADV SCONJ DET NOUN NOUN VERB DET NOUN ADJ PUNCT DET NOUN VERB DET NOUN ADJ CCONJ ADV DET ADJ NOUN PUNCT ADV PUNCT VERB DET NOUN AUX ADJ PUNCT DET NOUN VERB DET NOUN ADJ CCONJ DET ADJ NOUN ADJ DET ADJ ADJ PUNCT ADP DET NOUN PUNCT DET NOUN VERB VERB ADP NOUN NOUN CCONJ AUX VERB PUNCT ADV PUNCT NOUN PUNCT DET NOUN VERB DET NOUN CCONJ DET NOUN PUNCT ADP DET NOUN ADJ PUNCT NOUN AUX DET NOUN ADP PRON AUX VERB PUNCT DET NOUN VERB ADV PUNCT DET NOUN ADP NOUN NOUN AUX VERB SCONJ DET NOUN VERB DET NOUN ADV PUNCT ADP DET ADJ NOUN PUNCT NOUN AUX DET NOUN ADP PRON AUX VERB CCONJ ADP VERB DET ADJ NOUN PUNCT PRON ADJ DET NOUN ADJ PUNCT CCONJ DET NOUN VERB PUNCT ADP NOUN PUNCT VERB DET NOUN ADJ PUNCT ADP VERB SCONJ PRON VERB DET NOUN PUNCT PRON PRON NOUN ADV VERB PUNCT NOUN DET PROPN PUNCT DET NOUN ADJ PUNCT",apprenants
"NOUN DET NOUN PUNCT PRON PRON VERB ADP PRON VERB ADP ADV ADV VERB DET ADJ NOUN ADP DET NOUN PUNCT CCONJ PRON PRON NOUN ADP VERB DET NOUN ADJ PUNCT ADV ADP ADV PUNCT DET NOUN ADJ AUX ADV ADJ ADP DET NOUN ADJ ADP NOUN PUNCT PRON AUX DET NOUN ADJ PRON PRON ADJ PUNCT PRON NOUN PUNCT PRON PRON VERB ADJ PUNCT PRON PRON VERB CCONJ VERB DET NOUN ADJ PUNCT ADV PUNCT DET NOUN AUX SCONJ ADJ SCONJ PRON VERB ADV ADP NOUN ADP ADP DET NOUN ADJ DET NOUN PUNCT DET NOUN VERB ADV VERB ADV ADV ADP NOUN PUNCT PRON ADV ADP DET NOUN PUNCT VERB DET NOUN ADJ PUNCT ADV ADP DET NOUN PUNCT ADV DET NOUN ADJ PRON VERB PUNCT ADP ADV PUNCT SCONJ DET NOUN VERB VERB DET NOUN PUNCT PRON VERB ADV VERB DET NOUN SCONJ SCONJ PRON PRON PRON VERB DET NOUN PUNCT PRON PRON VERB DET NOUN PUNCT ADP ADV PUNCT ADP ADV ADP ADV ADP NOUN VERB VERB DET VERB ADV CCONJ PRON VERB ADV ADP NOUN PUNCT ADJ PRON VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN PUNCT PRON AUX ADP NOUN SCONJ DET NOUN VERB DET NOUN ADP NOUN ADJ CCONJ SCONJ PRON ADV VERB ADP NOUN ADV VERB DET ADJ NOUN PUNCT CCONJ ADP DET ADJ NOUN PUNCT DET NOUN ADJ DET ADV DET NOUN PUNCT DET VERB PUNCT PRON VERB VERB DET NOUN NOUN ADP DET NOUN ADP DET NOUN PUNCT ADP DET NOUN ADP DET NOUN ADJ PUNCT NOUN PUNCT PRON PRON NOUN ADP VERB DET NOUN NOUN PUNCT",apprenants
"PROPN PUNCT ADV PUNCT PROPN AUX VERB VERB SCONJ DET NOUN NOUN ADP DET NOUN AUX VERB ADP NOUN DET NOUN ADJ PUNCT PRON VERB ADV DET ADJ NOUN PUNCT CCONJ ADP NOUN ADP NOUN ADJ CCONJ ADJ PUNCT DET NOUN AUX VERB PUNCT ADV ADV PUNCT ADP ADV SCONJ DET NOUN PUNCT DET NOUN VERB ADV DET NOUN ADP NOUN NOUN VERB PUNCT CCONJ ADV PUNCT DET NOUN ADP NOUN NOUN PUNCT ADV PUNCT ADP DET NOUN PUNCT PRON VERB SCONJ DET NOUN ADJ PUNCT VERB DET NOUN ADJ ADP DET NOUN PUNCT CCONJ ADP ADV PUNCT ADV PUNCT ADV PUNCT PRON VERB NOUN PUNCT ADP NOUN NOUN ADP DET NOUN PUNCT ADP VERB DET NOUN ADJ PUNCT CCONJ ADP NOUN PUNCT DET NOUN AUX ADV VERB DET NOUN NOUN ADJ NOUN PUNCT ADV PUNCT SCONJ PRON VERB DET NOUN DET NOUN PUNCT PRON VERB SCONJ PRON ADV PRON VERB ADV PUNCT CCONJ ADV ADP PRON PUNCT PRON AUX ADV NOUN PUNCT CCONJ CCONJ PUNCT ADP NOUN NOUN ADP NOUN ADJ PUNCT SCONJ DET NOUN AUX ADJ ADP DET NOUN ADJ PUNCT ADV PUNCT PRON VERB SCONJ PRON AUX ADJ ADV VERB DET NOUN ADJ PUNCT PRON PRON VERB DET NOUN PUNCT CCONJ ADV ADJ NOUN PUNCT NOUN ADP DET NOUN PUNCT PRON PRON VERB ADV ADP VERB DET NOUN PUNCT CCONJ ADV ADJ PUNCT PRON DET NOUN ADJ PUNCT ADV PUNCT ADP ADP ADJ PRON PRON PRON ADJ PUNCT PRON VERB ADP ADJ DET NOUN PUNCT DET NOUN ADP DET NOUN PUNCT NOUN ADV CCONJ ADJ NOUN ADP PRON PUNCT DET NOUN VERB PUNCT ADJ PROPN",apprenants
"ADJ NOUN DET NOUN PRON PRON VERB ADP DET NOUN PRON PRON VERB VERB DET ADJ NOUN PUNCT ADP NOUN PUNCT DET NOUN AUX ADJ ADP DET NOUN PUNCT PRON ADP NOUN VERB ADP DET NOUN ADV PUNCT ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN CCONJ DET NOUN ADJ PUNCT DET NOUN ADJ PUNCT DET NOUN ADJ AUX VERB CCONJ ADV PRON AUX ADJ PUNCT ADP CCONJ PUNCT DET NOUN VERB DET ADJ NOUN ADJ PUNCT PRON AUX ADJ SCONJ DET NOUN VERB VERB ADJ ADP NOUN PUNCT DET AUX ADJ PUNCT DET NOUN VERB ADJ PUNCT DET NOUN VERB ADP NOUN CCONJ VERB DET NOUN PUNCT PRON AUX VERB ADJ ADP NOUN PUNCT SCONJ PRON VERB DET NOUN PUNCT DET NOUN VERB ADP DET NOUN PUNCT DET NOUN PROPN PUNCT PRON VERB DET NOUN ADP ADV ADV ADP NUM NOUN ADP NOUN ADP DET NOUN PUNCT ADV PUNCT DET NOUN VERB DET NOUN ADP DET NOUN PUNCT DET NOUN AUX ADJ PRON VERB VERB ADP NOUN PUNCT SCONJ PRON VERB DET NOUN PUNCT DET NOUN ADP DET NOUN ADV VERB ADV DET NOUN ADP VERB DET NOUN PUNCT DET NOUN PUNCT SCONJ PRON VERB PUNCT VERB DET NOUN PUNCT PRON AUX ADJ ADP DET NOUN PUNCT ADV ADV DET NOUN VERB ADJ DET NOUN PUNCT CCONJ ADV DET NOUN VERB VERB DET NOUN ADP PROPN PUNCT ADV PRON VERB VERB DET NOUN PUNCT",apprenants
"NOUN DET NOUN PUNCT PROPN PUNCT PRON AUX ADJ ADV VERB SCONJ DET ADJ NOUN ADP DET NOUN ADP NOUN NOUN AUX AUX VERB PUNCT PRON VERB PRON VERB DET NOUN AUX ADJ ADJ ADP PRON PUNCT ADV ADV PUNCT DET NOUN ADP NOUN AUX AUX VERB DET NOUN PUNCT PRON AUX VERB DET NOUN ADJ PUNCT NOUN PUNCT PUNCT DET NOUN PUNCT ADJ DET NOUN ADJ VERB CCONJ VERB DET ADJ NOUN ADJ PUNCT ADV DET NOUN VERB DET NOUN ADP NOUN CCONJ NOUN ADJ ADP ADJ NOUN ADP VERB NOUN PUNCT ADP NOUN PUNCT DET NOUN ADP NOUN ADJ NOUN AUX VERB NOUN NOUN ADJ PUNCT PRON VERB VERB DET NOUN CCONJ PRON ADV VERB DET NOUN ADP DET NOUN PUNCT ADV NOUN PUNCT DET NOUN ADV VERB DET NOUN ADP NOUN ADJ NOUN PUNCT PRON ADP NOUN VERB ADP DET NOUN ADP NOUN PRON ADP NOUN PUNCT ADJ AUX DET ADJ NOUN ADP DET NOUN PUNCT PRON VERB ADV VERB DET NOUN ADP NOUN CCONJ NOUN PUNCT ADP VERB DET NOUN ADP ADJ PRON VERB NOUN DET NOUN ADP DET NOUN PUNCT PRON VERB SCONJ DET NOUN AUX ADJ ADP NOUN PUNCT NOUN ADP DET NOUN PUNCT",apprenants
"NOUN PROPN PROPN PUNCT PROPN AUX VERB SCONJ DET ADJ NOUN AUX AUX VERB SCONJ SCONJ DET NOUN ADJ PUNCT ADJ AUX ADV ADJ PUNCT DET ADJ NOUN AUX ADV ADJ PUNCT SCONJ DET NOUN VERB ADV PUNCT PRON VERB PRON ADV VERB ADV VERB DET NOUN PUNCT PRON AUX DET NOUN PUNCT ADV PUNCT DET NOUN AUX DET NOUN ADP DET NOUN CCONJ AUX VERB DET NOUN ADP VERB DET NOUN ADP NOUN VERB PUNCT ADP PRON PUNCT PRON VERB VERB ADP DET NOUN PUNCT VERB DET NOUN CCONJ VERB DET NOUN ADP DET NOUN ADJ PUNCT ADJ AUX DET NOUN ADV ADJ PUNCT ADV PUNCT SCONJ PRON VERB VERB DET NOUN PUNCT PRON PRON VERB ADV DET NOUN CCONJ ADJ PUNCT DET NOUN VERB VERB DET NOUN ADP VERB CCONJ ADJ PUNCT DET NOUN VERB VERB DET NOUN ADP VERB CCONJ VERB DET ADJ NOUN PUNCT DET NOUN ADJ VERB DET NOUN PRON VERB ADP DET NOUN ADV DET NOUN PUNCT ADV PUNCT DET NOUN ADJ ADV AUX ADV DET NOUN PUNCT DET NOUN VERB DET NOUN PUNCT PRON VERB VERB NOUN ADV ADP DET NOUN ADP DET NOUN CCONJ DET NOUN ADP DET NOUN PUNCT PRON VERB VERB ADP DET NOUN ADJ ADP VERB ADV NOUN PUNCT CCONJ PRON VERB VERB DET NOUN ADJ ADP VERB DET NOUN ADP DET NOUN PUNCT PRON AUX DET NOUN ADJ CCONJ ADJ DET NOUN VERB PUNCT PRON VERB VERB DET NOUN NOUN PRON VERB VERB NOUN NOUN ADP DET NOUN PUNCT ADJ AUX ADV PUNCT NOUN DET NOUN ADP VERB DET NOUN PUNCT PRON VERB SCONJ PRON VERB ADP DET NOUN CCONJ VERB DET NOUN ADV ADJ PUNCT PRON VERB PRON VERB VERB DET ADV ADJ NOUN PUNCT",apprenants
